,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"beta[25,1]",-0.31235320214799445,0.5133602247147735,0.8906017788771948,-1.5553806273138258,-1.1578546502772398,-0.2869383970530184,0.28127195364000185,1.3840367111941736,3.009696364839749,2.69947731669192
"beta[26,1]",-0.3207500357373047,0.5111519896377453,0.8882985941450653,-1.5623234070614702,-1.1691546857820168,-0.29148539342925117,0.27650451996103936,1.3590014329524114,3.0200757653630586,2.6869386635335317
"beta[27,1]",-0.31107285705381305,0.5130344618836198,0.890431506970814,-1.5565273208724641,-1.1585915087645087,-0.2811386431514209,0.29122886499797007,1.3900223246317616,3.012367543520344,2.7076736273874604
"beta[28,1]",-0.32516767591865103,0.5110197128396701,0.8863991108344,-1.5650774598263384,-1.1707211826506931,-0.2913461369176384,0.26529702561535234,1.3608130971743417,3.0087306921286427,2.693714458215548
"beta[29,1]",-0.31529194318786485,0.5127717778622655,0.8905900905334743,-1.5534877546004404,-1.1587318064178582,-0.2966292296650147,0.28660944499624597,1.3921976237955969,3.01652888568086,2.6956746484279175
"beta[30,1]",-0.3216274417347303,0.5119809498642742,0.888786844221151,-1.562308660054363,-1.1671233555010387,-0.2986898791990216,0.2845103771898423,1.3740815564181306,3.0136140478428826,2.692876572292092
"beta[31,1]",-0.3163912268148933,0.5116168590277611,0.8897076802747019,-1.5559721254996892,-1.1648903456781878,-0.2896212971891571,0.2794204857838401,1.3856173346081648,3.0241615330370775,2.6908426163280312
"beta[32,1]",-0.32520140471262793,0.5122841964460361,0.8882609937132687,-1.5693938650195822,-1.1668409333845773,-0.29931650082515215,0.2849505650441865,1.3836279085645053,3.0064865529833424,2.68719685408913
"beta[33,1]",-0.3092654533068661,0.513406626500389,0.8909997917886237,-1.5575626526573267,-1.153175632500417,-0.2842786571391764,0.28052253747364553,1.3840960418303825,3.0118425570840532,2.698596146042505
"beta[34,1]",-0.3156660977967664,0.5110470292990198,0.8881404736010821,-1.5560416866201914,-1.159429556094992,-0.2913216881721269,0.2786871890869679,1.3798376955365341,3.0202409207955365,2.685801308233572
"beta[35,1]",-0.3209222127949435,0.5115830763577128,0.8887068101036563,-1.5642286261488936,-1.1588315091410744,-0.29391718294289954,0.2823434844199262,1.3665273472724597,3.017759862538803,2.691757002486377
"beta[36,1]",-0.31714686435649314,0.5126969574270541,0.8901378278862772,-1.5638975410390619,-1.158405989248866,-0.28895562455977214,0.2798552641727472,1.383492687195197,3.0143455391437928,2.694217048290512
"beta[37,1]",-0.32173039698077627,0.5120870302679676,0.8889628080370297,-1.5714780783802,-1.1647571729218806,-0.29816550484654436,0.27993487806222916,1.3666536668369325,3.0135585248652816,2.6994656778515376
"beta[38,1]",-0.3272168351013783,0.511043938125954,0.8877573745987553,-1.5595571362314609,-1.1682309433686777,-0.3064801209145811,0.27923731896142,1.3612202475804005,3.0176724294798873,2.689246290614994
"beta[39,1]",-0.32214386221058416,0.5118081401605784,0.8889213610433737,-1.558685340271492,-1.164799666072231,-0.2772760486204707,0.2776607718434082,1.3696594219736868,3.016562356645058,2.695771867574528
"beta[40,1]",-0.32668462007064547,0.5094556336379259,0.8868975979128749,-1.5640465844776916,-1.1685573058092638,-0.3026911323602879,0.27831035892361367,1.3491990921337416,3.03063907970005,2.677136770403343
"beta[41,1]",-0.30921902141628577,0.5122996616665731,0.8915933551736822,-1.5543778376804989,-1.1565935086747672,-0.28432150315286486,0.2764450145499837,1.3908040528637606,3.02890399577979,2.688252301917579
"beta[42,1]",-0.30882083194368054,0.513946518713069,0.8926032003597544,-1.5582035070768552,-1.163033171184371,-0.29291286164059016,0.2822813214749904,1.4009716858042705,3.0163450604289204,2.699421872570514
"beta[43,1]",-0.3218051754942907,0.5110839693947543,0.8883807028994446,-1.56400332347989,-1.1626048939611875,-0.3141945461587977,0.28190951635707684,1.3647504682054872,3.021438191722351,2.6790716693483247
"beta[44,1]",-0.31345020752978325,0.5120673910048196,0.8903749859531264,-1.5639365404785788,-1.159300599443105,-0.298064434234234,0.2718231483081562,1.3758155295990635,3.0233725121079575,2.6949967167168265
"beta[45,1]",-0.3287949264318564,0.5096365420217586,0.8856301576267884,-1.56535802037694,-1.1695627257531154,-0.29626447961074615,0.28087697775986453,1.362531657250437,3.0198381897000806,2.6842952492225285
"beta[46,1]",-0.31158549509623895,0.512599620502052,0.8900650822074468,-1.5578399721140999,-1.1545897396370357,-0.28722907707727297,0.291416139816983,1.392087812079832,3.014997572615196,2.6952284564397404
"beta[47,1]",-0.3186137092558732,0.5118746008866273,0.8911462291600402,-1.554156188182319,-1.1627529390387128,-0.30199144727059707,0.278380682880393,1.389582801252153,3.030894269006702,2.6902472931548203
"beta[48,1]",-0.3059742332804776,0.5146983721934122,0.893672073987504,-1.558606704498466,-1.1589093229694962,-0.281599109898608,0.2826048858210282,1.4117617608151423,3.0147463958095146,2.7146483892159408
"beta[49,1]",-0.29908191344395324,0.5162698352919973,0.894567197358966,-1.558921197596434,-1.145127891099246,-0.28081394664365944,0.2976731008290251,1.4077551592471795,3.0024268602730557,2.7240995660379537
"beta[50,1]",-0.33294576714673657,0.5086850062070023,0.8843448100991884,-1.5573512009167532,-1.17216992938226,-0.32389517457819433,0.2660877255664492,1.3575925806414197,3.0223544086940826,2.6795075030246287
"beta[51,1]",-0.314009528990989,0.5102247303178086,0.8868645514188745,-1.557780271866996,-1.1569748437276135,-0.28546752986495294,0.2719374359638297,1.37319413114953,3.021284222723907,2.6943256535057043
"beta[52,1]",-0.3142268848331922,0.5115688453295939,0.8893044883262864,-1.5561029199938137,-1.1568923059627176,-0.28456331969346726,0.29001876466337695,1.3780897231736349,3.0219883966969543,2.6907696722805636
"beta[53,1]",-0.318191683080568,0.5126727923568432,0.8890889623388863,-1.55732286046829,-1.160597927242176,-0.2937934248578885,0.2767781740868547,1.352680114863306,3.0075295108765183,2.706298481873036
"beta[54,1]",-0.3122030708456575,0.5117139808816268,0.8879908623236281,-1.554703942130505,-1.160143037175051,-0.28670484427693244,0.2785468755426631,1.3844903267949877,3.0113582710379108,2.6977821293818236
"beta[55,1]",-0.3089832637328451,0.5129915392199267,0.8919456549615465,-1.5546889250185787,-1.1575851227653386,-0.2867521788679757,0.28992292388151586,1.394456892163383,3.0231269421127873,2.6992805755085505
"beta[56,1]",-0.3238963510526819,0.5113337492886618,0.8883041681752554,-1.5567750968090937,-1.1692109148003313,-0.30007740475703315,0.27686047273289105,1.377552873497879,3.0179669782321414,2.6886127217589126
"beta[57,1]",-0.31788539388373194,0.5089643790740787,0.8871708561216607,-1.5538255028377916,-1.1631782386410268,-0.3069548591661774,0.2691986490635795,1.3901173838189798,3.0383636837591776,2.669872811089556
"beta[58,1]",-0.32631686289788764,0.51123256032514,0.8879024194546302,-1.562159917631416,-1.1741397987648212,-0.2950431426551329,0.27236729366408335,1.3579412703169742,3.016431493417071,2.690513209291849
"beta[59,1]",-0.3133142979937673,0.5125564422439508,0.8890129829158652,-1.564053277096939,-1.156965566486773,-0.29062895741397304,0.282528104180097,1.3726051276167937,3.0083808378814787,2.7080471691179406
"beta[60,1]",-0.3205936079351503,0.5116348871122497,0.8873061032505456,-1.5511147398537575,-1.158511269943646,-0.2988941556441421,0.2766563688719887,1.3639156276029314,3.007645435933325,2.706730570310341
"beta[61,1]",-0.32070911268135854,0.5121760533886491,0.8889210675435544,-1.5670143989690755,-1.166908602734549,-0.295821450120428,0.27738874979888645,1.3724287221442868,3.0122281283520937,2.6981863123007357
"beta[62,1]",-0.3178828547040233,0.5120054409976417,0.8891900586805687,-1.563301042522189,-1.16634416619501,-0.284409184862374,0.2767020522677863,1.3840620430414057,3.0160604711154324,2.6913286762637627
"beta[63,1]",-0.3235131353371693,0.5106011479358844,0.8869317638178728,-1.5585560479041383,-1.1648098870448178,-0.3019772130511065,0.276927231535038,1.375000812413829,3.0172885419849496,2.6895711472230444
"beta[64,1]",-0.33005220388147405,0.5104955856699122,0.8869126517017145,-1.5701799708566646,-1.1784937030093448,-0.30000035852739415,0.2641062944724351,1.3683517310197826,3.0184064354382976,2.6811761526239426
"beta[65,1]",-0.3163567312770396,0.5132227221197693,0.8906999894698973,-1.5612254948626019,-1.1644203372633004,-0.2903938027910048,0.2778067221853508,1.374260717648624,3.0119734735267234,2.702293232890097
"beta[66,1]",-0.3184192502497706,0.51109197694053,0.8879329519689844,-1.552082598751758,-1.1643781039794638,-0.286586056856187,0.2760974529762614,1.363480210398095,3.018298720788189,2.691214817366481
"beta[67,1]",-0.3208683745155795,0.5134975554821076,0.8884882005298707,-1.5605298149581734,-1.1676478781274948,-0.2877035154290851,0.2829273143727587,1.376207326413057,2.9938260862185855,2.6979992939775466
"beta[68,1]",-0.3186998900949375,0.5124187612997315,0.8891565621907604,-1.5592766656143064,-1.1576199421203104,-0.29089890346032876,0.2746000774623085,1.390192487942287,3.010970021420308,2.6977660333778624
"beta[69,1]",-0.31647112452314297,0.5116903567914317,0.8886668499331919,-1.5604896965771762,-1.157722270992556,-0.2907470078569072,0.2776684455867145,1.3682480647656956,3.016223331152549,2.7020530345479163
"beta[70,1]",-0.3117295557232251,0.5132824214080967,0.8910548304617678,-1.5631695297490373,-1.15213592467842,-0.2974949211954167,0.2832221659363113,1.3590528670683928,3.013672642197741,2.6967244224861533
"beta[71,1]",-0.3119276436599598,0.5132207196053277,0.8924316300371693,-1.5643787632270447,-1.153081195454741,-0.27737534509234796,0.2876644187246432,1.3957015467566793,3.0237198168813255,2.694039894912635
"beta[72,1]",-0.31644106382658943,0.5116820698607097,0.889599004280917,-1.5661918384410867,-1.1626011796552451,-0.294362466944289,0.27865558837837323,1.3697689705975438,3.0226522023719298,2.7068995926514914
"beta[73,1]",-0.32577969262006606,0.5107973011329782,0.8859359792593788,-1.5639232472369167,-1.1700254378171704,-0.30695613376066916,0.2744335388296337,1.3522790971439287,3.0082054308062456,2.6897104058623307
"beta[74,1]",-0.31224381464678,0.5113174445351771,0.8885044244082374,-1.5658341811673036,-1.1555612807384046,-0.2880816391104367,0.27687947056804807,1.370913521939815,3.019520413880869,2.6848527369211506
"beta[75,1]",-0.3290281009695103,0.5099516374707188,0.8853118242723145,-1.5631484515555791,-1.1657880392817903,-0.2962728279603969,0.27094345359246824,1.367684521545802,3.013939623702945,2.6923354155668813
"beta[76,1]",-0.3220924907644082,0.5104330816213659,0.8867489928009424,-1.5646147504819163,-1.169193516796899,-0.3052540828101159,0.2751859178646482,1.372163408388841,3.0180315843149135,2.6780101542705217
"beta[77,1]",-0.31699080227878595,0.512848336868798,0.8911789261447514,-1.5571956958161224,-1.1617411763287373,-0.30234447886704907,0.28429854262478205,1.3788085916668855,3.019617358625138,2.691395868113345
"beta[78,1]",-0.31802927093271216,0.5122118123474555,0.8884818558066768,-1.5610253949763806,-1.1556091676116236,-0.28127919979331195,0.28547585099383394,1.3832393677338806,3.008832053912546,2.690227712238671
"beta[1,2]",0.3202392786646379,0.5115726895033175,0.8874507789484846,-1.3770615248111877,-0.2812183627996646,0.28762463292759505,1.1588931678932983,1.5668820623088893,3.009357941158266,2.686107606116415
"beta[2,2]",0.32173133013759697,0.5108947608427604,0.8878070913467385,-1.4004675365004933,-0.27277488838183217,0.314744063287766,1.1670136518429888,1.5623188167415238,3.0197731624335464,2.6852499223816837
"beta[3,2]",0.32321451819841024,0.5098148786621667,0.8872831231601593,-1.3726786207155748,-0.2836487998037598,0.2936884483701728,1.1677539994160204,1.5696400154735555,3.029001092774077,2.670414737452085
"beta[4,2]",0.32350494629424015,0.5090817060184747,0.8877408125086508,-1.3611030410267397,-0.2700272113188818,0.2796149841538703,1.1635040683986544,1.5657624311451364,3.0408667580775277,2.678694237178238
"beta[5,2]",0.323509098129241,0.5101500619296686,0.8869346033182923,-1.3575974743899857,-0.272383450780254,0.3052303340988153,1.165820467277365,1.5640476150235154,3.022646161859284,2.6766319362077065
"beta[6,2]",0.32153819430572705,0.5111118726184511,0.88965125471726,-1.3864895458178594,-0.2680049832400768,0.2854978748150998,1.1677172918639012,1.5679591993696824,3.0297559887455296,2.6781649232696783
"beta[7,2]",0.3112656501208775,0.51259688619428,0.8910998630775294,-1.3777931921440818,-0.2742431129047245,0.2519731639500183,1.157906880305576,1.5643430429697451,3.022044300786786,2.6749348842457943
"beta[8,2]",0.3281060393790865,0.5110429948933352,0.8898354365174679,-1.3843299961928688,-0.26602583762351584,0.31199880343160225,1.1719879277425753,1.5671706093856987,3.0318276875521346,2.6725070061541403
"beta[9,2]",0.3179968390242537,0.5118890962675282,0.8896400482970024,-1.3916192507481235,-0.29246385642143147,0.3029951858280444,1.162365117868052,1.566795872729008,3.0204864547807317,2.688164281343372
"beta[10,2]",0.3216959164547435,0.5111201631012755,0.888849629430315,-1.3682514597933992,-0.2824858379608861,0.27902700938750213,1.1694500574044024,1.5664232535332712,3.0242003823289307,2.6860344691388103
"beta[11,2]",0.3053513978609352,0.5125962030827615,0.8925974106847478,-1.4060353485015993,-0.28625036626317374,0.25635646894398356,1.1539110741966296,1.5637902269960886,3.032218376770006,2.6740435786448353
"beta[12,2]",0.31629496310273325,0.5106693223411449,0.8882233928248615,-1.3902262985031255,-0.27779090848183763,0.28047701287832605,1.165169893912756,1.559330299269797,3.0252751186142253,2.682279311128498
"beta[13,2]",0.3172543830244189,0.5118640620005067,0.8895846038440214,-1.3773663268959828,-0.27094175799340464,0.28271817604400185,1.1587122328905632,1.5647214657125432,3.0204054014533757,2.665721208042524
"beta[14,2]",0.3104059303783023,0.5143771680356175,0.8910072689478297,-1.3794437668287935,-0.28084397566115815,0.28368243207016847,1.154155436893746,1.5674427925223022,3.0005379781024013,2.6951678649191093
"beta[15,2]",0.3176545163528357,0.5112956894658,0.8880299793179893,-1.3806809161625697,-0.28135816340479003,0.28108220658389715,1.1606554208611723,1.56570343997122,3.0165532233180663,2.674013755099569
"beta[16,2]",0.3218958793168539,0.5107273127927271,0.8878120236377077,-1.3703502214520196,-0.27567596750907797,0.30200970586794695,1.1695770221001252,1.5631256549595574,3.0217871997764947,2.6722124329090815
"beta[17,2]",0.3147630292474123,0.5125069815578489,0.8888606456384509,-1.3622842978975607,-0.2709347630164419,0.28538300342255385,1.1603929690770296,1.565006959031809,3.007930411619797,2.6839469372951155
"beta[18,2]",0.32001281418815963,0.5118084689396583,0.8887505307811543,-1.359682390703033,-0.27176546041780736,0.3029892642265294,1.1672935420664419,1.5743076217539733,3.0153991659867962,2.6884619372026872
"beta[19,2]",0.3182166814232181,0.5129394352783481,0.8899930612026651,-1.3842632350751256,-0.2750774044784621,0.2889635599426086,1.1598344995823335,1.5709904501286855,3.010516852935869,2.6880598581879003
"beta[20,2]",0.3151423441803805,0.5118039462602526,0.8884480328103809,-1.3726356987208277,-0.27505235545524187,0.2931847856042144,1.1594078823237677,1.5654430472751737,3.013400110092046,2.699435431566018
"beta[21,2]",0.31474105660819834,0.5114509270447286,0.8890023185041291,-1.4017349583829717,-0.2784514349799525,0.28985990572344444,1.159609115204209,1.5718611702493006,3.0213278012174496,2.6699091649377023
"beta[22,2]",0.31655337153467256,0.5112758291025682,0.8898815232996834,-1.3776738255723247,-0.285237468522059,0.289949254848922,1.1593427633368067,1.5678184492273959,3.029380711076062,2.6752058223741404
"beta[23,2]",0.31508712776291714,0.5120963591345241,0.8902663853764544,-1.389735810737242,-0.2762121972993873,0.28635065532737236,1.1635311013873015,1.5586667814546575,3.022293067595222,2.689346019486738
"beta[24,2]",0.30642397906091184,0.513126469933118,0.8914561243420136,-1.3878576465857002,-0.27802784493307364,0.26857387614453054,1.1512540686252752,1.5590906025992626,3.0182215021865386,2.686150484928608
"beta[25,2]",0.32233317492925423,0.5095089619548264,0.8870953992523891,-1.356003286529365,-0.2751546992004619,0.28570679825370804,1.1655426842325416,1.5704959718848268,3.0313563937070898,2.686729845669241
"beta[26,2]",0.31465905991339416,0.5120390374061203,0.8895178890083395,-1.3877945112262147,-0.2860289099984883,0.27965018329775804,1.1597006673716503,1.5656155745729952,3.0178887644360635,2.6835382308975104
"beta[27,2]",0.3271185299670941,0.5100150660590305,0.8881683499480263,-1.3568976534469228,-0.2775547601595424,0.30214172997244115,1.1730291967051527,1.5691231007133515,3.0326659478291167,2.681408508769324
"beta[28,2]",0.3137313387331699,0.5128390916977753,0.8909820224841456,-1.4086799165400188,-0.2795602263681125,0.276643764557099,1.164236277728814,1.5678360134728238,3.0183919776281,2.6891172842377555
"beta[29,2]",0.31857122255672343,0.5104551474947104,0.8892074909329541,-1.3834449115021608,-0.269090116703474,0.28524487214927124,1.1587989000331667,1.564861268391999,3.0345273073790375,2.6865397679398746
"beta[30,2]",0.31261780244303666,0.5114790320359274,0.8902330037408103,-1.381140191359986,-0.2832681192059924,0.2808577842699962,1.1600266480174497,1.5658172943107798,3.0293657612985405,2.67871881624493
"beta[31,2]",0.3185039392599446,0.5119225031580399,0.8898074578168386,-1.3837842993079046,-0.26879521647821913,0.2997189633492049,1.1719065162993898,1.5622844202413781,3.0212289764522895,2.682999056978112
"beta[32,2]",0.30446566019838667,0.5150515911061687,0.8946504066321851,-1.4076627047491361,-0.2692043022983008,0.2667771087843753,1.1492721587762407,1.5665189437312286,3.01720807284881,2.673261156816528
"beta[33,2]",0.3269645662026695,0.511290222852757,0.8883458814679522,-1.3821231656415027,-0.275604027126345,0.30519915733173913,1.168275477289979,1.5652891664878439,3.0187643350737403,2.6816822726394145
"beta[34,2]",0.3213163991361139,0.5115319622023229,0.8889640599693694,-1.3845384499846562,-0.26825531409283837,0.2940419392284695,1.163228206017426,1.563218686467387,3.020110660165373,2.6933040509652684
"beta[35,2]",0.314770672083188,0.5113722062134742,0.8893682532562125,-1.408756234009069,-0.28501314629598196,0.27146648267321927,1.1540950981207927,1.5657413212112514,3.0247466619248478,2.6884345785932786
"beta[36,2]",0.3189675181046107,0.5121014444109075,0.8883284618889217,-1.3816793147832533,-0.27328041780045764,0.28249815609788564,1.151241397280344,1.5684921412055943,3.0090898275843934,2.694358380172458
"beta[37,2]",0.31379090365010914,0.5122955223158632,0.889860176699738,-1.3945252323865467,-0.27961316196689046,0.29118970942714584,1.1551699366237425,1.562902021740273,3.017188356660172,2.6920957981566924
"beta[38,2]",0.3061693890302894,0.5140682559176393,0.8918138701524738,-1.4049706793587342,-0.28511258228215225,0.26791132802059564,1.1503246590910763,1.5672060134744257,3.009586788021413,2.6732879179158644
"beta[39,2]",0.31398266977156697,0.5115461437041463,0.8878359449846329,-1.3778954795959868,-0.2768235551571599,0.27511188169061185,1.156154478657819,1.5716228209860326,3.012283324897393,2.6965047106087274
"beta[40,2]",0.3068787776099159,0.5144386561028838,0.8934258407362827,-1.4155681185431899,-0.29100217751509644,0.2819226060127734,1.1541297726140276,1.5649846834128263,3.016128420520217,2.6911057204924806
"beta[41,2]",0.3257956461992626,0.5084846372728017,0.8863287125717587,-1.3576206453567654,-0.2900287433307898,0.30459551700160914,1.1692493060725337,1.561892364051612,3.038323162867345,2.6721507324233613
"beta[42,2]",0.32962225921804367,0.509849105891392,0.8862067259996319,-1.3591859914740922,-0.27288244463047356,0.2964787683170346,1.1661702166962367,1.5666431115463095,3.021250669439496,2.6928815590813415
"beta[43,2]",0.311541014405749,0.5129357592828799,0.889835694851211,-1.3773406896492828,-0.279782180298594,0.2708919203428219,1.1592100012006998,1.567323472221499,3.0094954580278874,2.6809921050549015
"beta[44,2]",0.32500673550097076,0.5104162330776704,0.887998591366151,-1.3630293827293514,-0.2857036582424562,0.30447589390737034,1.1658042837004436,1.5703218724779062,3.0267433547449323,2.693887982199816
"beta[45,2]",0.3050839811936297,0.5131551567460328,0.8924372838918673,-1.3925965331567234,-0.2810716702255709,0.26980843766243134,1.1523525371777321,1.5589459161695598,3.0245308350179307,2.6959666546661776
"beta[46,2]",0.3225412815895883,0.5110482623306393,0.8892064904936589,-1.351420724884397,-0.28378112483404827,0.30169645724032745,1.1682922367159037,1.5690384506536357,3.027480929938047,2.6791238346440336
"beta[47,2]",0.31485928016094805,0.5122295927401717,0.8898007536378115,-1.3866584859341264,-0.2796181724724369,0.28656890104435717,1.16591874398096,1.5707804083527601,3.017562043471825,2.6929854648675557
"beta[48,2]",0.32939595778279673,0.5104785960675579,0.8875237753690731,-1.3668348533977848,-0.2803043818304803,0.30145930762568496,1.167315796526708,1.567777514936373,3.0227687064481117,2.6795685294905915
"beta[49,2]",0.33902951288666777,0.5090030385031643,0.8850221918965002,-1.3362812531844788,-0.24931760973212463,0.3103351561285735,1.180181709443031,1.5772462917982295,3.023204823030786,2.6793151944932023
"beta[50,2]",0.30564336490387123,0.5148744268557347,0.8907424190688953,-1.3918996277782227,-0.29034667691338617,0.2590528365037307,1.15350045855418,1.5630098178032172,2.9929649204637867,2.699445363535989
"beta[51,2]",0.32046703527346126,0.5114968763572325,0.8897005610114076,-1.3688523201388099,-0.27111635029918035,0.30430385377406455,1.1580249524163528,1.5652240554978567,3.025532044621608,2.669893420808519
"beta[52,2]",0.3231051950809372,0.5102953013013249,0.8876505789674157,-1.3567228996969662,-0.2694228704436241,0.30616203846707307,1.1674783005347942,1.5685717983476282,3.0258050435681634,2.679475958718791
"beta[53,2]",0.3181167219790313,0.5111583040989518,0.8876604495049776,-1.3702587086504687,-0.28192712564377764,0.296361206994021,1.166002191925807,1.565713363491152,3.015663632974792,2.685554187493895
"beta[54,2]",0.3257677820241362,0.5096671441264752,0.8872037101417687,-1.3561359936718755,-0.26014433004601356,0.2986342502455667,1.1695110498955543,1.56407495643858,3.0302148591804112,2.6845881048746936
"beta[55,2]",0.3284786930185269,0.5082637725752386,0.8861128940460176,-1.337032409926385,-0.2767586665189769,0.31324348269140756,1.1702067536896898,1.56651773577997,3.0394835753571123,2.669809878246068
"beta[56,2]",0.3120285878902529,0.5142338619464862,0.8912140897067239,-1.3912769168746686,-0.2834726945942289,0.2881529633004513,1.1613862963415342,1.568366830215876,3.003604492956035,2.7012871001486256
"beta[57,2]",0.31778137979355014,0.5118843542671274,0.8896357176473041,-1.3895477102414504,-0.27591413324899444,0.28170360115015614,1.162704924858301,1.5654056247012447,3.0205130103492657,2.691053289069662
"beta[58,2]",0.30938008882845774,0.5127973343371777,0.8887321825960214,-1.381165284974342,-0.2800804249537657,0.2894736820244246,1.153557479205371,1.5645765281869308,3.003656715953897,2.6845648574423904
"beta[59,2]",0.32357206913945574,0.5110986344285666,0.8885229885618894,-1.3556147701667869,-0.274216930146731,0.2904529309907993,1.1686786429997005,1.5717829647184927,3.0222326717942614,2.6963394664804965
"beta[60,2]",0.3154766219050002,0.5126715159048364,0.8901351008460815,-1.3821685011958411,-0.2853462382834806,0.288585439115316,1.1606977171255068,1.568916240234536,3.0146262512957933,2.6841988168306856
"beta[61,2]",0.3137535983746631,0.5106896300255993,0.8895444750654058,-1.3850799725496272,-0.28864092012758624,0.2862606011390074,1.161301031065928,1.5656760516516415,3.03403966939557,2.6753516947393807
"beta[62,2]",0.31893772778243873,0.5117636348670501,0.8879162547490439,-1.374258098097719,-0.27447222020290807,0.3131135620022494,1.1618956182127391,1.566442084324044,3.010268044329643,2.691295789066028
"beta[63,2]",0.3096644172325372,0.514166153466612,0.8921101038745497,-1.4004186740854248,-0.28689644083164434,0.28969638274608034,1.1594802182459745,1.568351291337263,3.010439801725187,2.6799869201690067
"beta[64,2]",0.3061550188926765,0.5141361115701716,0.891238423581128,-1.3911949973161022,-0.28815255948620727,0.2724903401561136,1.1517868516684453,1.564796146627926,3.004910811597896,2.685478035878438
"beta[65,2]",0.32014353378184857,0.5115242213460703,0.8870063033201542,-1.3718414527881815,-0.26802803197528874,0.29674410630367776,1.164460044810506,1.5604297997376202,3.0069139937318887,2.702775861840378
"beta[66,2]",0.31695165849293194,0.511073279699683,0.8872817358258197,-1.3778489737253345,-0.2829566624348087,0.28594099753379065,1.1567522419428329,1.5602546343396346,3.014093586845149,2.6818372792590166
