Subject,Horizon,alpha,side,sigma
aaz5rwa16q73iwrsrbshbk39.,1,0.12959585049786607,-0.15195761791078943,7.441641532541012
aaz5rwa16q73iwrsrbshbk39.,6,-0.12264655710304831,-0.510210182114779,7.575206349856519
ac4dwnk18da5prccl8bzfwsj.,1,0.14265237853409365,0.07959743026952912,6.714702898641035
ac4dwnk18da5prccl8bzfwsj.,6,-0.3084227933664947,0.6850302622349191,5.892128344792339
b9w6du5mfjy3anpj9b94wiun.,1,0.9044477899899429,-0.44666540248972797,7.40407895024932
b9w6du5mfjy3anpj9b94wiun.,6,0.11935716995537876,-0.1717133416285151,8.07237534479017
bg7au9jdadvby4tm2h8tgjyy.,1,0.25220715432224716,0.026492968382412038,7.592295921852521
bg7au9jdadvby4tm2h8tgjyy.,6,-0.134008674004129,0.4248983997178171,7.006468411519512
btj5opoxoxgssw6apiuiwa81.,1,-0.4502559513858217,0.06267229494869445,8.552328481146798
btj5opoxoxgssw6apiuiwa81.,6,-0.8252538206175442,0.5210971237966643,8.13917651123479
cdqe7d4eopykg1rw25hg0smw.,1,0.6971242376312214,-0.011508421943263373,6.823607750032086
cdqe7d4eopykg1rw25hg0smw.,6,0.1362686535813011,-0.5228764256747832,7.092151019564069
d3ewk04q2r002e5a8fgqa80d.,1,-0.6130760094157028,0.20396230409846894,7.813710140876444
d3ewk04q2r002e5a8fgqa80d.,6,-0.6666552326344903,0.37330891023516616,7.147050734427594
ddaqntvjvd3eopf9aebk3jt9.,1,0.13711687177233842,-0.10465903093872195,6.955173130891754
ddaqntvjvd3eopf9aebk3jt9.,6,-0.7609086744330504,0.038042853193667535,8.873892261676795
dlnzn7l56v1fq7xku1tmor3h.,1,0.2717255350880663,-0.19566411292160335,6.972690737168504
dlnzn7l56v1fq7xku1tmor3h.,6,-0.6741487873063524,0.18649098139880932,7.054421081748697
drsoux247pv1q4j7husw8kva.,1,0.5260152454388308,-0.7954968400979909,7.265104873809868
drsoux247pv1q4j7husw8kva.,6,-0.5004031506231081,-0.029711631611768242,7.652157571839951
e5vxndygfz6wu5qdzowriwlr.,1,0.5618402086474509,-0.03360480556305364,6.76439959586511
e5vxndygfz6wu5qdzowriwlr.,6,0.4993857219613039,-0.2632014138399696,7.627867007047293
eeij9c18pv7o7agz89omgqk0.,1,-0.6195928253324681,0.22329180723116068,7.743322651373693
eeij9c18pv7o7agz89omgqk0.,6,-0.7993097153334331,0.5107039685442373,7.185320822054074
enh2br5ahtga43u4zd4gmaec.,1,-0.2895286504121151,0.4307403796633509,6.508608357315206
enh2br5ahtga43u4zd4gmaec.,6,-1.1613934830173183,0.5676093937263286,8.26170884962439
epdm01s7p1uo8kn1m8b8o8wd.,1,-0.47236217653111906,-0.1552066886187485,8.108656681177692
epdm01s7p1uo8kn1m8b8o8wd.,6,-0.9506554642637272,0.19084962629516494,8.094315182703879
f3q2zx571eimwnzib6iom1l2.,1,1.3890328426526768,-0.19774800108806617,6.842880382502514
f3q2zx571eimwnzib6iom1l2.,6,1.3797740372528844,-0.19643841411244695,6.8917264609713795
gazrkiisx1dztglmbxx3mm03.,1,0.6637687295163557,-0.32532590835683706,7.222093316854404
gazrkiisx1dztglmbxx3mm03.,6,0.12996140878879706,-0.5452638181178818,7.6290570704883915
ggu9mpow2kj9dvkrrfx1rhzi.,1,0.00019216941947809853,-0.10319034481452553,7.0026060682966325
ggu9mpow2kj9dvkrrfx1rhzi.,6,0.0007966020899497714,-0.47829096689276457,7.2013077707369275
gh7hi15ar4c156kg8nhch44s.,1,-0.567446708638289,-0.12443680983728894,6.688654670729116
gh7hi15ar4c156kg8nhch44s.,6,-0.4715045272157962,0.10328696621546524,8.155286171726221
gj0hifjpaxenxu53xcjr7r77.,1,0.2720904125497391,0.28157802807649274,7.013066831355586
gj0hifjpaxenxu53xcjr7r77.,6,-0.00015849143923991668,-0.10484936553322127,7.502586767464949
gq8icyq41unwp4gudfk87tac.,1,-0.2567161169419159,0.5427064016669084,7.5468159278108935
gq8icyq41unwp4gudfk87tac.,6,-0.3931798523808501,0.31272892035846545,7.323745330315474
gtouraixqbp4l3z0ffs8qj7e.,1,0.12543695362576932,0.08765136407798015,7.631693993296117
gtouraixqbp4l3z0ffs8qj7e.,6,-0.1369990343542463,0.23365907335937924,6.950786139958163
gx6a2ucc31wv12kflrog1zr4.,1,-0.25932685274924655,0.11097442733115274,7.400120357364434
gx6a2ucc31wv12kflrog1zr4.,6,0.1274619724059376,0.10702064990951546,7.443210890104632
hbxh732mhsidc8thgdvcq9yq.,1,-0.2687382265718532,0.21436358647521803,7.082391611855032
