Subject,type,alpha,side,sigma
b9w6du5mfjy3anpj9b94wiun.,3,1.5274668768855355,-0.62301842040916,1e-09
b9w6du5mfjy3anpj9b94wiun.,4,-0.23354258955017407,0.3813096523783196,1.1105850533776602
bg7au9jdadvby4tm2h8tgjyy.,1,10.0,-0.49640080245647594,1.0000001349154823
bg7au9jdadvby4tm2h8tgjyy.,2,10.0,2.880602692463555e-07,0.5879014736678086
bg7au9jdadvby4tm2h8tgjyy.,3,0.8224614978744891,0.006214700413767869,0.6510685555213367
bg7au9jdadvby4tm2h8tgjyy.,4,-0.2911946268983037,0.6809457905622285,0.48799684452741177
btj5opoxoxgssw6apiuiwa81.,1,10.0,10.0,11.862310608290596
btj5opoxoxgssw6apiuiwa81.,2,10.0,10.0,16.5018455536029
btj5opoxoxgssw6apiuiwa81.,3,-14.81546266506404,0.7713233833217057,6.412222322039384
btj5opoxoxgssw6apiuiwa81.,4,-2.117496854790202,1.2140412214590723,1e-09
cdqe7d4eopykg1rw25hg0smw.,1,10.0,-8.799065036976912e-07,0.3713396870126303
cdqe7d4eopykg1rw25hg0smw.,2,10.0,-0.7205628278000754,0.4899443628618487
cdqe7d4eopykg1rw25hg0smw.,3,17.134813717212943,-10.0,8.188484659774055
cdqe7d4eopykg1rw25hg0smw.,4,1.0744767227963958,-0.9026954262232917,1.6708813437099128
d3ewk04q2r002e5a8fgqa80d.,1,10.0,-6.616536962880007e-08,0.9122402561420918
d3ewk04q2r002e5a8fgqa80d.,2,10.0,-0.19652300416718735,0.6726758790461972
d3ewk04q2r002e5a8fgqa80d.,3,-3.894007493242705,0.45528827123785537,1.7917110230595126
d3ewk04q2r002e5a8fgqa80d.,4,-5.187083168521682,3.97111069413412,2.54835244008095
ddaqntvjvd3eopf9aebk3jt9.,1,10.0,-0.2291144700604737,0.011140718838049696
ddaqntvjvd3eopf9aebk3jt9.,2,10.0,-0.3485291473410541,2886.143313404157
ddaqntvjvd3eopf9aebk3jt9.,3,-0.20828047136478436,0.26849179653827526,0.133488591870809
ddaqntvjvd3eopf9aebk3jt9.,4,-16.36247886567357,10.0,4.4930218049461725
dlnzn7l56v1fq7xku1tmor3h.,1,10.0,0.15949475649411843,0.3150711855886225
dlnzn7l56v1fq7xku1tmor3h.,2,10.0,0.16905889926974926,0.4441519338541664
dlnzn7l56v1fq7xku1tmor3h.,3,0.0411123081161254,-0.27211900979615805,1e-09
dlnzn7l56v1fq7xku1tmor3h.,4,-8.254850323263952,4.801570164255495,3.9233613687266633
drsoux247pv1q4j7husw8kva.,1,10.0,-4.295096021713204e-07,0.37133978203015583
drsoux247pv1q4j7husw8kva.,2,10.0,0.5372443463769517,1.1214138028077103
drsoux247pv1q4j7husw8kva.,3,1.2413317758722415,-1.5748203091929842,0.48144621643108576
drsoux247pv1q4j7husw8kva.,4,-12.934047254566755,5.53269644513181,7.723106720659756
e5vxndygfz6wu5qdzowriwlr.,1,10.0,0.31507521645483194,0.2691112338226586
e5vxndygfz6wu5qdzowriwlr.,2,10.0,-4.092774790779658e-08,0.8195621316363398
e5vxndygfz6wu5qdzowriwlr.,3,0.5665834766913689,-0.2291145075007679,0.005311836456432115
e5vxndygfz6wu5qdzowriwlr.,4,2.7411621787087728,-0.6386752233208604,2.0009933850828556
eeij9c18pv7o7agz89omgqk0.,1,10.0,-0.4160463948309629,0.7429271522198585
eeij9c18pv7o7agz89omgqk0.,2,10.0,-0.2593419435504133,1.0802186758418677
eeij9c18pv7o7agz89omgqk0.,3,-4.644888022529847,2.9729980370816773,2.2804014434001463
eeij9c18pv7o7agz89omgqk0.,4,-4.087602311064861,3.113721017050412,1.4253237976475548
enh2br5ahtga43u4zd4gmaec.,1,10.0,0.2291144444857613,0.010844861818639964
enh2br5ahtga43u4zd4gmaec.,2,10.0,10.0,9.27223193185611
enh2br5ahtga43u4zd4gmaec.,3,-0.520444874792193,0.5298922512390776,0.20637936999525205
enh2br5ahtga43u4zd4gmaec.,4,-20.0,6.44681574170558,1e-09
epdm01s7p1uo8kn1m8b8o8wd.,1,10.0,1.2516159978168205e-07,1.3810632421284363
epdm01s7p1uo8kn1m8b8o8wd.,2,10.0,0.4626675668016865,2.1944037982267757
epdm01s7p1uo8kn1m8b8o8wd.,3,-3.2080875624219454,0.7306395205685486,1.7797256650578044
epdm01s7p1uo8kn1m8b8o8wd.,4,-2.958419398796086,1.819043807848885,0.3438960510049752
f3q2zx571eimwnzib6iom1l2.,1,10.0,0.22911448497326872,0.010861075977052867
f3q2zx571eimwnzib6iom1l2.,2,10.0,0.17145936663425243,0.16554291507527522
f3q2zx571eimwnzib6iom1l2.,3,11.356615428641797,-4.809922018505082,1e-09
f3q2zx571eimwnzib6iom1l2.,4,11.356614960670074,-4.809922928826351,1e-09
