Subject,Horizon,alpha,side,sigma
bg7au9jdadvby4tm2h8tgjyy.,6,-2.8748577519585514,4.756887180452848,9.900472881716349
btj5opoxoxgssw6apiuiwa81.,1,-20.0,-0.02023875060233762,30.66387785733767
btj5opoxoxgssw6apiuiwa81.,6,-20.0,9.555069787420402,17.477218373809492
cdqe7d4eopykg1rw25hg0smw.,1,20.0,-2.783844350498898,23.928841409385424
cdqe7d4eopykg1rw25hg0smw.,6,7.279958573172552,-10.0,16.435070517499337
d3ewk04q2r002e5a8fgqa80d.,1,-14.538234194785993,-2.166946472293695,14.148687053180776
d3ewk04q2r002e5a8fgqa80d.,6,-13.599067635182083,-5.036561277243924e-06,13.22342269025914
ddaqntvjvd3eopf9aebk3jt9.,1,-1.5828438878657587,0.17448240629913153,2.6927087653695185
ddaqntvjvd3eopf9aebk3jt9.,6,-20.0,7.520303699538964,73.47873165894029
dlnzn7l56v1fq7xku1tmor3h.,1,4.089574792849122,-0.7205267554588876,4.157782771234334
dlnzn7l56v1fq7xku1tmor3h.,6,-18.796749382131384,3.1656936035457126,8.607621722858411
drsoux247pv1q4j7husw8kva.,1,7.633946168966613,-6.98089614890429,8.972402679911866
drsoux247pv1q4j7husw8kva.,6,-20.0,4.794722502394287,18.970786650276427
e5vxndygfz6wu5qdzowriwlr.,1,5.2767502024089605,3.527523730215168,3.7574380751121943
e5vxndygfz6wu5qdzowriwlr.,6,8.698990921813348,0.5156390904107571,13.11532696248989
eeij9c18pv7o7agz89omgqk0.,1,-20.0,-2.571117507747198,20.980355322545133
eeij9c18pv7o7agz89omgqk0.,6,-20.0,2.851923461367304,19.13497640521784
enh2br5ahtga43u4zd4gmaec.,1,-4.804538467734989,3.8896216646747823,2.6006167698765834
enh2br5ahtga43u4zd4gmaec.,6,-20.0,10.0,20.130185328973337
epdm01s7p1uo8kn1m8b8o8wd.,1,-20.0,-5.473794176473023,24.986130343490466
epdm01s7p1uo8kn1m8b8o8wd.,6,-20.0,3.2171676970696703,14.96226194550986
f3q2zx571eimwnzib6iom1l2.,1,18.990079842483038,3.9999969128130544,0.14235359100334383
f3q2zx571eimwnzib6iom1l2.,6,20.0,3.3385898355372428,2.3508240923322377
gazrkiisx1dztglmbxx3mm03.,1,10.156608227601783,-2.4616999669733097,5.961717584886339
gazrkiisx1dztglmbxx3mm03.,6,-0.4323978485864601,-4.12960991977266,5.592754362619919
ggu9mpow2kj9dvkrrfx1rhzi.,1,-3.932190539985086,0.35595251405223616,2.555502378307122
ggu9mpow2kj9dvkrrfx1rhzi.,6,-2.710108054593783,-3.7275884168582207,2.6212596963282446
gh7hi15ar4c156kg8nhch44s.,1,-7.439371405128004,-4.818581154645309,9.340113601602127
gh7hi15ar4c156kg8nhch44s.,6,-20.0,-9.002367670851283,88.38065953644119
gj0hifjpaxenxu53xcjr7r77.,1,3.619014310116815,3.8141384049829656,3.8668119269319576
gj0hifjpaxenxu53xcjr7r77.,6,-2.828876888143479,-0.05409845058702493,9.221037022295599
gq8icyq41unwp4gudfk87tac.,1,4.44943259663925,0.9327117816474787,5.483778322567237
gq8icyq41unwp4gudfk87tac.,6,2.970160050603806,-1.7208388803074148,3.4188831869558576
gtouraixqbp4l3z0ffs8qj7e.,1,7.820312378907332,-1.5180834791921902,9.149164636553493
gtouraixqbp4l3z0ffs8qj7e.,6,2.3458386250730596,3.3725828317878024e-07,6.298958776177716
gx6a2ucc31wv12kflrog1zr4.,1,-3.905029589745525,0.6858969659698277,3.166414078634765
gx6a2ucc31wv12kflrog1zr4.,6,5.700632788231682,-0.5619321986344745,7.573771392403182
hbxh732mhsidc8thgdvcq9yq.,1,2.4539940632256583,-1.243408512371003,4.669316323034058
hbxh732mhsidc8thgdvcq9yq.,6,-20.0,-4.076772376509982,8.531677735007602
hsh4tg80zhn7j0dcc9uudluo.,1,0.9142787225409058,-4.283207607805217,5.122973487028119
hsh4tg80zhn7j0dcc9uudluo.,6,-7.321488609134901,-7.001052596901891,12.746634125548418
idgddv7w9c7z6fup77kwv1rs.,1,17.552791220026652,-2.3189706743032885,5.4558140577892384
idgddv7w9c7z6fup77kwv1rs.,6,18.729767489399386,-2.533399019001346,16.989462660788696
ijq9c88uvlutsgpv06xf013b.,1,1.7555763036758025,-4.086632962394836,5.18619950730998
ijq9c88uvlutsgpv06xf013b.,6,2.097440911747192,0.19766076572686678,4.22053533450704
inruxr1qd5qmpvl3wg310m1w.,1,5.80796717869386,4.336558480279403,6.686982671295998
inruxr1qd5qmpvl3wg310m1w.,6,-9.71295441059487,1.6346679312514092,9.71936352449435
