Subject,type,alpha,side,sigma
b9w6du5mfjy3anpj9b94wiun.,3,1.36287673438862,-0.6051469964675648,1e-09
b9w6du5mfjy3anpj9b94wiun.,4,-0.23354292069279126,0.38130852366814766,1.1105846594533222
bg7au9jdadvby4tm2h8tgjyy.,1,15.0,-0.49640080245647594,1.0000001349154823
bg7au9jdadvby4tm2h8tgjyy.,2,15.0,2.880602692463555e-07,0.5879014736678086
bg7au9jdadvby4tm2h8tgjyy.,3,0.8224603429149695,0.00621458137207879,0.6510680627550588
bg7au9jdadvby4tm2h8tgjyy.,4,-0.2911945671935998,0.6809455261412063,0.48799670742096113
btj5opoxoxgssw6apiuiwa81.,1,15.0,10.0,11.862310608290596
btj5opoxoxgssw6apiuiwa81.,2,15.0,10.0,16.5018455536029
btj5opoxoxgssw6apiuiwa81.,3,-1.7752393588458089,-0.09112724695620147,0.6156271287221208
btj5opoxoxgssw6apiuiwa81.,4,-2.43158363859408,1.2953730040491425,1e-09
cdqe7d4eopykg1rw25hg0smw.,1,15.0,-8.799065036976912e-07,0.3713396870126303
cdqe7d4eopykg1rw25hg0smw.,2,15.0,-0.7205628278000754,0.4899443628618487
cdqe7d4eopykg1rw25hg0smw.,3,17.13487356920261,-10.0,8.188462506366774
cdqe7d4eopykg1rw25hg0smw.,4,1.0744779195119438,-0.9026977156401762,1.6708886259982632
d3ewk04q2r002e5a8fgqa80d.,1,15.0,-6.616536962880007e-08,0.9122402561420918
d3ewk04q2r002e5a8fgqa80d.,2,15.0,-0.19652300416718735,0.6726758790461972
d3ewk04q2r002e5a8fgqa80d.,3,-1.4940600993569648,0.4689619143287392,0.703431238700576
d3ewk04q2r002e5a8fgqa80d.,4,-1.711862300799691,1.1509709636727414,0.8180173620184219
ddaqntvjvd3eopf9aebk3jt9.,1,15.0,-0.2291144700604737,0.011140718838049696
ddaqntvjvd3eopf9aebk3jt9.,2,15.0,-0.3485291473410541,2886.143313404157
ddaqntvjvd3eopf9aebk3jt9.,3,-0.20828044203213003,0.26849178794688505,0.13348857747980394
ddaqntvjvd3eopf9aebk3jt9.,4,-16.362339200507492,10.0,4.49297595185735
dlnzn7l56v1fq7xku1tmor3h.,1,15.0,0.15949475649411843,0.3150711855886225
dlnzn7l56v1fq7xku1tmor3h.,2,15.0,0.16905889926974926,0.4441519338541664
dlnzn7l56v1fq7xku1tmor3h.,3,0.46125183615361776,-0.3879677188802531,1e-09
dlnzn7l56v1fq7xku1tmor3h.,4,-9.237956429501276,7.006013972080827,4.14202642518751
drsoux247pv1q4j7husw8kva.,1,15.0,-4.295096021713204e-07,0.37133978203015583
drsoux247pv1q4j7husw8kva.,2,15.0,0.5372443463769517,1.1214138028077103
drsoux247pv1q4j7husw8kva.,3,1.24133166545563,-1.5748203386227586,0.48144644127653935
drsoux247pv1q4j7husw8kva.,4,-2.9188647927452185,1.4713236066119946,1.2480421066721865
e5vxndygfz6wu5qdzowriwlr.,1,15.0,0.31507521645483194,0.2691112338226586
e5vxndygfz6wu5qdzowriwlr.,2,15.0,-4.092774790779658e-08,0.8195621316363398
e5vxndygfz6wu5qdzowriwlr.,3,0.5944989296780259,-0.22911442511098054,0.004540625498624157
e5vxndygfz6wu5qdzowriwlr.,4,0.9061205541743477,-0.38630731668086804,0.6725549843677222
eeij9c18pv7o7agz89omgqk0.,1,15.0,-0.4160463948309629,0.7429271522198585
eeij9c18pv7o7agz89omgqk0.,2,15.0,-0.2593419435504133,1.0802186758418677
eeij9c18pv7o7agz89omgqk0.,3,-4.644878511236651,2.9729903084383973,2.2803962358156595
eeij9c18pv7o7agz89omgqk0.,4,-4.087596621628468,3.113707399948621,1.4253173638016012
enh2br5ahtga43u4zd4gmaec.,1,15.0,0.2291144444857613,0.010844861818639964
